numSTA,macMechanism,totalLoadPercent,throughputMbps_mean,throughputMbps_stdev,numRuns
4,EDCA,50,33.024,4.237,3
8,EDCA,50,34.293,1.732,3
12,EDCA,50,30.521,0.858,3
20,EDCA,50,22.695,0.679,3
4,RTSCTS,50,32.974,4.202,3
8,RTSCTS,50,32.361,1.935,3
12,RTSCTS,50,28.112,0.239,3
20,RTSCTS,50,24.816,2.802,3
4,EDCA,80,44.694,1.069,3
8,EDCA,80,41.067,0.837,3
12,EDCA,80,37.700,0.327,3
20,EDCA,80,29.904,1.841,3
4,RTSCTS,80,50.869,5.405,3
8,RTSCTS,80,48.145,3.951,3
12,RTSCTS,80,40.080,5.272,3
20,RTSCTS,80,34.527,3.668,3
4,EDCA,90,47.060,1.165,3
8,EDCA,90,41.149,0.288,3
12,EDCA,90,38.654,0.749,3
20,EDCA,90,29.088,0.315,3
4,RTSCTS,90,51.172,3.558,3
8,RTSCTS,90,50.407,2.786,3
12,RTSCTS,90,43.178,1.641,3
20,RTSCTS,90,37.427,2.173,3
