numSTA,macMechanism,totalLoadPercent,throughputMbps_mean,throughputMbps_stdev,numRuns
4,EDCA,50,32.416,4.930,5
8,EDCA,50,33.820,2.309,5
12,EDCA,50,30.709,0.832,5
20,EDCA,50,22.360,1.231,5
4,RTSCTS,50,34.181,3.997,5
8,RTSCTS,50,32.587,2.015,5
12,RTSCTS,50,28.216,2.347,5
20,RTSCTS,50,23.981,3.481,5
4,EDCA,80,44.369,1.136,5
8,EDCA,80,40.471,1.166,5
12,EDCA,80,36.634,1.491,5
20,EDCA,80,26.818,4.810,5
4,RTSCTS,80,52.883,5.439,5
8,RTSCTS,80,48.387,3.486,5
12,RTSCTS,80,41.298,6.246,5
20,RTSCTS,80,32.551,5.336,5
4,EDCA,90,46.620,1.269,5
8,EDCA,90,40.765,0.774,5
12,EDCA,90,37.251,2.054,5
20,EDCA,90,28.226,1.680,5
4,RTSCTS,90,52.932,3.928,5
8,RTSCTS,90,49.586,3.236,5
12,RTSCTS,90,45.370,3.328,5
20,RTSCTS,90,37.881,2.016,5
