seed,numSTA,macMechanism,totalLoadPercent,throughputMbps
1,4,EDCA,50,36.031
1,4,EDCA,80,43.249
1,4,EDCA,90,48.655
1,4,RTSCTS,50,27.032
1,4,RTSCTS,80,43.249
1,4,RTSCTS,90,48.655
1,8,EDCA,50,35.513
1,8,EDCA,80,41.226
1,8,EDCA,90,41.084
1,8,RTSCTS,50,35.049
1,8,RTSCTS,80,52.759
1,8,RTSCTS,90,53.864
1,12,EDCA,50,31.407
1,12,EDCA,80,37.478
1,12,EDCA,90,37.907
1,12,RTSCTS,50,27.844
1,12,RTSCTS,80,41.632
1,12,RTSCTS,90,45.439
1,20,EDCA,50,21.897
1,20,EDCA,80,28.199
1,20,EDCA,90,29.440
1,20,RTSCTS,50,27.092
1,20,RTSCTS,80,29.678
1,20,RTSCTS,90,38.525
2,4,EDCA,50,27.032
2,4,EDCA,80,45.801
2,4,EDCA,90,46.623
2,4,RTSCTS,50,36.025
2,4,RTSCTS,80,54.164
2,4,RTSCTS,90,56.204
2,8,EDCA,50,31.844
2,8,EDCA,80,39.972
2,8,EDCA,90,40.834
2,8,RTSCTS,50,30.570
2,8,RTSCTS,80,43.109
2,8,RTSCTS,90,47.041
2,12,EDCA,50,30.796
2,12,EDCA,80,37.460
2,12,EDCA,90,39.678
2,12,RTSCTS,50,28.066
2,12,RTSCTS,80,45.620
2,12,RTSCTS,90,42.503
2,20,EDCA,50,23.556
2,20,EDCA,80,32.461
2,20,EDCA,90,29.147
2,20,RTSCTS,50,26.487
2,20,RTSCTS,80,35.354
2,20,RTSCTS,90,39.364
3,4,EDCA,50,36.009
3,4,EDCA,80,45.033
3,4,EDCA,90,45.903
3,4,RTSCTS,50,35.864
3,4,RTSCTS,80,55.195
3,4,RTSCTS,90,48.657
3,8,EDCA,50,35.523
3,8,EDCA,80,42.004
3,8,EDCA,90,41.530
3,8,RTSCTS,50,31.464
3,8,RTSCTS,80,48.566
3,8,RTSCTS,90,50.315
3,12,EDCA,50,29.360
3,12,EDCA,80,38.163
3,12,EDCA,90,38.377
3,12,RTSCTS,50,28.425
3,12,RTSCTS,80,32.989
3,12,RTSCTS,90,41.592
3,20,EDCA,50,22.632
3,20,EDCA,80,29.052
3,20,EDCA,90,28.676
3,20,RTSCTS,50,20.869
3,20,RTSCTS,80,38.549
3,20,RTSCTS,90,34.393
